light,temperature,moisture,conductiviy,battery,registDay
353,25.1,0,0,27,27/01/23
353,25.1,0,0,27,27/01/23
262,25.1,0,0,27,27/01/23
353,25.1,0,0,27,27/01/23
262,25.1,0,0,27,27/01/23
390,25.1,0,0,27,27/01/23
353,25.1,0,0,27,27/01/23
262,25.1,0,0,27,27/01/23
390,25.1,0,0,27,27/01/23
264,25.0,0,0,27,27/01/23
353,25.1,0,0,27,27/01/23
262,25.1,0,0,27,27/01/23
390,25.1,0,0,27,27/01/23
264,25.0,0,0,27,27/01/23
288,25.1,0,0,27,27/01/23
353,25.1,0,0,27,27/01/23
262,25.1,0,0,27,27/01/23
390,25.1,0,0,27,27/01/23
264,25.0,0,0,27,27/01/23
288,25.1,0,0,27,27/01/23
288,25.1,0,0,27,27/01/23
353,25.1,0,0,27,27/01/23
262,25.1,0,0,27,27/01/23
390,25.1,0,0,27,27/01/23
264,25.0,0,0,27,27/01/23
288,25.1,0,0,27,27/01/23
288,25.1,0,0,27,27/01/23
288,25.0,0,0,27,27/01/23
353,25.1,0,0,27,27/01/23
262,25.1,0,0,27,27/01/23
390,25.1,0,0,27,27/01/23
264,25.0,0,0,27,27/01/23
288,25.1,0,0,27,27/01/23
288,25.1,0,0,27,27/01/23
288,25.0,0,0,27,27/01/23
288,25.1,0,0,27,27/01/23
